Production_Budget,Domestic_Gross
9000000.00,80500000.00
6500000.00,12376563.00
2500000.00,12300000.00
150000.00,15200000.00
3000000.00,4000000.00
2200000.00,41158757.00
7200000.00,43800000.00
1700000.00,9700000.00
7000000.00,134966411.00
3500000.00,12600000.00
25000.00,45000000.00
87000.00,3100000.00
2000000.00,18016290.00
1800000.00,8800000.00
4638783.00,8000000.00
7000000.00,35400000.00
5500000.00,15700000.00
777000.00,115000000.00
2000000.00,18344729.00
5500000.00,159616327.00
12000000.00,202347346.00
2600000.00,119500000.00
7000000.00,26533200.00
1600000.00,4420000.00
140000.00,26572439.00
13000000.00,57300000.00
500000.00,31559560.00
2800000.00,86300000.00
14000000.00,116000000.00
4000000.00,15000000.00
7000000.00,21000000.00
11000000.00,20000000.00
5000000.00,41833347.00
12000000.00,260000000.00
1200000.00,140510017.00
400000.00,3427696.00
3000000.00,20123742.00
4400000.00,108981275.00
7000000.00,25000000.00
3800000.00,23689877.00
1200000.00,887000.00
4400000.00,36145695.00
2800000.00,48570885.00
1000000.00,28262574.00
3000000.00,13200000.00
5000000.00,8000000.00
1800000.00,25878153.00
1000000.00,117235147.00
23000000.00,52614445.00
500000.00,17000000.00
100000.00,7000000.00
10000000.00,36000000.00
4000000.00,38251425.00
7000000.00,1000000.00
11000000.00,460998007.00
26000000.00,50800000.00
14000000.00,25011000.00
14000000.00,13800000.00
21600000.00,12000000.00
14000000.00,46800000.00
600000.00,15000000.00
20000000.00,166000000.00
3400000.00,31063038.00
14000000.00,1000000.00
12000000.00,19000000.00
3000000.00,32653000.00
11000000.00,20388920.00
20000000.00,102922376.00
6000000.00,181813770.00
15000000.00,98800000.00
3000000.00,141600000.00
3000000.00,3446749.00
325000.00,47000000.00
24000000.00,13000000.00
55000000.00,134218018.00
5000000.00,7100000.00
15000000.00,50000000.00
6000000.00,391942.00
1500000.00,5100000.00
12500000.00,7000000.00
9000000.00,80930630.00
12000000.00,22673340.00
8000000.00,76657000.00
8000000.00,43000000.00
31000000.00,70300000.00
170000.00,14000.00
8500000.00,29200000.00
35000000.00,82258456.00
31500000.00,78800000.00
4000000.00,20008693.00
2700000.00,37799643.00
16000000.00,8400000.00
32000000.00,34175000.00
20000000.00,35841901.00
35000000.00,1500000.00
6500000.00,31899000.00
3500000.00,8000000.00
350000.00,10000000.00
1000000.00,21378361.00
40000000.00,7000000.00
5100000.00,9709597.00
5000000.00,26010864.00
200000.00,8750000.00
3500000.00,83453539.00
35000000.00,27107960.00
10000000.00,15198912.00
400000.00,89134.00
23000000.00,290271960.00
19000000.00,44017374.00
5500000.00,4865000.00
22000000.00,15716828.00
27000000.00,57229890.00
20000000.00,2000000.00
4500000.00,47923795.00
15000000.00,67182787.00
6000000.00,39846344.00
550000.00,39754601.00
6000000.00,52302978.00
100000.00,287000.00
15000000.00,69847348.00
18000000.00,23380203.00
44000000.00,3484331.00
20000000.00,49823037.00
17000000.00,2110050.00
250000.00,23894000.00
12000000.00,12200000.00
33500000.00,50000000.00
1250000.00,21722776.00
18000000.00,13400000.00
6500000.00,42488161.00
12000000.00,37400000.00
54000000.00,108185706.00
28000000.00,54800000.00
18000000.00,6000000.00
10000000.00,85300000.00
9300000.00,19571091.00
18000000.00,13747234.00
20000000.00,18826490.00
3000000.00,5732587.00
14000000.00,35856053.00
5000000.00,19032000.00
5500000.00,57159946.00
5000000.00,14600000.00
1000000.00,17985000.00
6000000.00,25244700.00
2500000.00,25533818.00
10000000.00,2000000.00
12000000.00,2104164.00
20000000.00,248159971.00
15000000.00,30000000.00
11000000.00,31672000.00
10000000.00,6000000.00
8000000.00,24474312.00
13500000.00,6118683.00
12500000.00,7000000.00
5000000.00,12592907.00
5000000.00,20659423.00
4000000.00,109492484.00
12000000.00,78912963.00
10700000.00,74706019.00
20000000.00,38264085.00
2000000.00,24600832.00
21000000.00,45785720.00
28000000.00,32656328.00
18000000.00,5675599.00
20500000.00,69701637.00
22000000.00,52767889.00
16000000.00,53977250.00
4500000.00,27092880.00
2250000.00,36690067.00
5000000.00,10751126.00
3250000.00,6965361.00
5000000.00,3707583.00
17000000.00,26918576.00
46000000.00,4408636.00
12000000.00,11487676.00
8000000.00,20036244.00
14000000.00,47212904.00
2500000.00,14400000.00
10500000.00,435110554.00
1200000.00,255000.00
12500000.00,20959585.00
15000000.00,177200000.00
400000.00,126387.00
10100000.00,10143618.00
12000000.00,74433837.00
10000000.00,25697647.00
5952000.00,2120439.00
7000000.00,90463574.00
5000000.00,12232628.00
375000.00,2400000.00
32500000.00,309205079.00
39000000.00,59950623.00
10000000.00,29500000.00
36000000.00,55500000.00
15000000.00,61400000.00
7000000.00,1246141.00
1305000.00,909000.00
25000000.00,44942821.00
15000000.00,8921050.00
27500000.00,67900000.00
27000000.00,21500000.00
10000000.00,20766000.00
8000000.00,589308.00
12000000.00,39012241.00
3250000.00,20605209.00
30000000.00,5321508.00
18000000.00,76471046.00
1500000.00,2300000.00
8200000.00,80000000.00
9000000.00,13075390.00
4500000.00,81198894.00
2600000.00,32980880.00
550000.00,5269990.00
15000000.00,234760478.00
28000000.00,179880271.00
8000000.00,90815558.00
18000000.00,26400000.00
27000000.00,21300000.00
30000000.00,242212467.00
11000000.00,148168459.00
25000000.00,5778353.00
1250000.00,4700000.00
8000000.00,62599495.00
7500000.00,5142858.00
1800000.00,25504513.00
18000000.00,51973029.00
10000000.00,8801940.00
6400000.00,38019031.00
15000000.00,15136870.00
48000000.00,25928721.00
45000000.00,27447471.00
27500000.00,27187653.00
3000000.00,21163999.00
1500000.00,1690913.00
19000000.00,212259762.00
1300000.00,210904.00
10000000.00,33000000.00
2200000.00,21930418.00
10000000.00,35073978.00
18000000.00,19739000.00
44000000.00,150415432.00
30000000.00,50327960.00
2000000.00,390659.00
27000000.00,10618813.00
25000000.00,11603545.00
17900000.00,6905861.00
6900000.00,41410568.00
3500000.00,5804262.00
12000000.00,65532576.00
4000000.00,14237880.00
10000000.00,17536256.00
26000000.00,33200000.00
10000000.00,36230219.00
3000000.00,11052713.00
7000000.00,10803211.00
20000000.00,18400000.00
31000000.00,79096868.00
15000000.00,93589701.00
15000000.00,9929135.00
40000000.00,1641825.00
25000000.00,11100000.00
30000000.00,16295774.00
3000000.00,19472057.00
15000000.00,1953732.00
18000000.00,6734844.00
35000000.00,2000000.00
5000000.00,12947763.00
25000000.00,15502112.00
4500000.00,1500000.00
18000000.00,1305114.00
15000000.00,179800601.00
12000000.00,4884663.00
40000000.00,49851591.00
16000000.00,5900000.00
3000000.00,20966644.00
17000000.00,85160248.00
8000000.00,52287414.00
175000.00,7137502.00
4700000.00,8025872.00
17000000.00,2315000.00
8800000.00,174803506.00
18000000.00,41382841.00
10000000.00,52293000.00
24000000.00,109713132.00
12000000.00,79817937.00
30000000.00,38747385.00
6000000.00,137963328.00
2000000.00,7369373.00
2600000.00,3147950.00
350000.00,4000000.00
100000.00,5228617.00
10000000.00,3000000.00
3500000.00,14000000.00
16000000.00,14792779.00
5000000.00,44793222.00
25000000.00,76270454.00
3500000.00,5923044.00
4000000.00,800000.00
1100000.00,1355728.00
40000000.00,14375181.00
20000000.00,153665036.00
15000000.00,65192350.00
29000000.00,5899797.00
22700000.00,38119483.00
23000000.00,15728335.00
13000000.00,53424681.00
17000000.00,11227824.00
6500000.00,54215416.00
40000000.00,51185000.00
8500000.00,32222567.00
1900000.00,4600000.00
14000000.00,156645693.00
1000000.00,14564000.00
15000000.00,30857000.00
16500000.00,43848100.00
30000000.00,38122000.00
25000000.00,43984987.00
3000000.00,7888000.00
15000000.00,167780960.00
18000000.00,59735548.00
13000000.00,123922370.00
25000000.00,16118077.00
5000000.00,17768757.00
4000000.00,3468572.00
6200000.00,9205924.00
1500000.00,11806119.00
18000000.00,114968774.00
15000000.00,73326666.00
4000000.00,354704.00
4000000.00,13000000.00
4700000.00,1705139.00
2800000.00,19170001.00
58000000.00,53715611.00
14000000.00,109306210.00
70000000.00,154112492.00
28000000.00,81350242.00
30000000.00,38413606.00
3000000.00,7282851.00
13000000.00,49369899.00
9000000.00,33244684.00
16000000.00,13854000.00
15000000.00,111936388.00
9500000.00,14114000.00
6000000.00,12793213.00
12300000.00,48092846.00
32000000.00,59450353.00
7000000.00,20257000.00
6000000.00,14545844.00
13000000.00,44726644.00
7000000.00,8373585.00
25000000.00,172825435.00
14000000.00,34700000.00
15000000.00,10763469.00
16400000.00,95860116.00
10000000.00,40485039.00
18000000.00,7190505.00
1200000.00,24741667.00
11500000.00,57469179.00
10000000.00,30050028.00
48000000.00,197171806.00
35000000.00,251188924.00
6000000.00,26004026.00
11000000.00,49793054.00
42000000.00,34667015.00
16000000.00,92823546.00
5000000.00,6157157.00
5000000.00,14343976.00
1500000.00,14533681.00
9000000.00,10161099.00
30000000.00,52210049.00
70000000.00,54243125.00
19000000.00,58571513.00
30000000.00,45892212.00
6000000.00,11642254.00
6000000.00,22168359.00
30000000.00,60857262.00
40000000.00,118450002.00
18000000.00,26593580.00
7500000.00,106593296.00
20000000.00,10555348.00
14000000.00,70001698.00
140000.00,6706368.00
55000000.00,63408614.00
1600000.00,419428.00
65000000.00,119394839.00
10000000.00,16667084.00
30000000.00,120709866.00
7700000.00,882290.00
70000000.00,117323878.00
10000000.00,16153000.00
430000.00,2938000.00
14000000.00,178406268.00
13500000.00,135265915.00
3000000.00,15000000.00
40000000.00,88055283.00
50000000.00,41476097.00
47000000.00,103738726.00
60000000.00,82670733.00
20000000.00,53976987.00
22000000.00,217631306.00
31000000.00,53208180.00
19000000.00,184208842.00
13000000.00,26904572.00
25000000.00,46743809.00
7000000.00,4372561.00
26000000.00,61308153.00
20000000.00,21413105.00
4200000.00,5835247.00
49000000.00,20423389.00
15000000.00,285761243.00
35000000.00,28317513.00
26000000.00,91457688.00
54000000.00,66520529.00
11000000.00,2000000.00
8000000.00,2275557.00
500000.00,55000.00
450000.00,2712293.00
40000000.00,34416893.00
8500000.00,15024232.00
35000.00,321952.00
23000.00,1227508.00
35000000.00,14471440.00
14000000.00,34729091.00
100000000.00,201858746.00
20000000.00,130726716.00
25000000.00,78656813.00
25000000.00,9286314.00
65000000.00,17218916.00
27000000.00,74888996.00
50000000.00,165493908.00
23000000.00,86930411.00
20000000.00,37537675.00
7000000.00,5017971.00
23000000.00,7018525.00
6000000.00,773490.00
16000000.00,29090445.00
5000000.00,34872033.00
24000000.00,41798224.00
2500000.00,6401336.00
7000000.00,8824553.00
5000000.00,19438638.00
9000000.00,349618.00
70000000.00,119654823.00
20000000.00,218951625.00
35000000.00,79091969.00
30000000.00,113502246.00
16500000.00,58011485.00
24000000.00,43218387.00
6500000.00,56190094.00
40000000.00,70405498.00
30000000.00,74787599.00
11000000.00,81204830.00
7000000.00,5430822.00
42000000.00,70052444.00
40000000.00,107533925.00
42000000.00,19487173.00
10000000.00,50752337.00
20000000.00,121697323.00
35000000.00,4651977.00
40000000.00,14358033.00
11000000.00,52929168.00
8000000.00,26124872.00
5000000.00,1526697.00
45000000.00,83287363.00
35000000.00,144731527.00
55000000.00,54927174.00
10000000.00,32100816.00
80000000.00,162833635.00
40000000.00,44948240.00
14400000.00,101157447.00
11000000.00,21171695.00
55000000.00,58422650.00
7000000.00,14231669.00
5000000.00,1050861.00
40000000.00,75505856.00
12500000.00,10725228.00
8000000.00,21706101.00
1200000.00,2832029.00
28000000.00,217350219.00
33000000.00,141340178.00
12000000.00,27281507.00
40000000.00,82522790.00
35000000.00,48169910.00
20000000.00,173585516.00
25000000.00,121945720.00
4000000.00,62546695.00
35000000.00,23365858.00
2000000.00,21000.00
1800000.00,673.00
14000000.00,68856263.00
800000.00,1001437.00
32000000.00,36299670.00
15000000.00,22189039.00
6500000.00,24103594.00
11000000.00,11502976.00
7000.00,2040920.00
12000000.00,6730578.00
21000000.00,42273609.00
35000000.00,4496583.00
15000000.00,9579068.00
13000000.00,27979399.00
22000000.00,10696210.00
15000000.00,22954968.00
13000000.00,1152117.00
3500000.00,27731527.00
65000000.00,84049211.00
42000000.00,20844907.00
44000000.00,183875760.00
85000000.00,50016394.00
42000000.00,158340892.00
8000000.00,22549338.00
28000000.00,39360491.00
20000000.00,77698625.00
14000000.00,27450453.00
25000000.00,10731997.00
3000000.00,15935068.00
6000000.00,3273588.00
15000000.00,39100956.00
34000000.00,32014993.00
6900000.00,7950889.00
3000000.00,3902679.00
12500000.00,12281000.00
63000000.00,395708305.00
25000000.00,219195051.00
19000000.00,2119994.00
14600000.00,70906973.00
3000000.00,242623.00
7000000.00,40157856.00
25000000.00,96067179.00
45000000.00,100768056.00
26000000.00,77324422.00
25000000.00,56505065.00
11000000.00,9170214.00
22000000.00,25842377.00
50000000.00,16581575.00
40000000.00,31835600.00
50000000.00,38590458.00
10000000.00,18272447.00
40000000.00,24172899.00
62000000.00,122012656.00
30000000.00,51041856.00
12000000.00,72217396.00
10000000.00,3275585.00
45000000.00,22006296.00
13000000.00,7881335.00
8000000.00,8864699.00
9000000.00,4333569.00
14000000.00,13024170.00
50000000.00,42586861.00
45000000.00,130531208.00
20000000.00,11744960.00
55000000.00,330151138.00
79300000.00,422780140.00
70000000.00,65011757.00
63000000.00,25052000.00
45000000.00,57362581.00
100000000.00,146282411.00
45000000.00,92115211.00
18000000.00,119920129.00
10000000.00,126247.00
1500000.00,418953.00
4500000.00,52700832.00
55000000.00,83015089.00
28000000.00,44853581.00
25000000.00,28241469.00
1500000.00,5046118.00
45000000.00,46815000.00
18000000.00,5828466.00
30000000.00,121248145.00
8000000.00,107928762.00
8000000.00,18090181.00
700000.00,7768371.00
27000.00,3073428.00
20000000.00,13383747.00
55000000.00,71565669.00
40000000.00,2816518.00
20000000.00,305070.00
50000000.00,105264608.00
22000000.00,144833357.00
5000000.00,3046086.00
38000000.00,75671262.00
16000000.00,19284974.00
10000000.00,29317886.00
16000000.00,127175374.00
40000000.00,38087756.00
15000000.00,50003303.00
35000000.00,33423000.00
30000000.00,66502573.00
27000000.00,44342956.00
10500000.00,125169.00
25000000.00,4064333.00
13700000.00,56598476.00
15000000.00,529766.00
12000000.00,21089146.00
26000000.00,13738574.00
2500000.00,5274005.00
22000000.00,71516617.00
4000000.00,7555256.00
50000000.00,11497497.00
20000000.00,17468887.00
14000000.00,2461628.00
30000000.00,63658910.00
30000000.00,23998226.00
40000000.00,14942422.00
3500000.00,27467564.00
90000000.00,100012499.00
72000000.00,75545647.00
6000000.00,11784569.00
55000000.00,100328194.00
50000000.00,30306268.00
100000000.00,184031112.00
250000.00,2210408.00
85000000.00,34687912.00
65000000.00,172070496.00
28000000.00,31390587.00
25000000.00,22032635.00
23000000.00,65647413.00
75000000.00,37361412.00
35000000.00,60054449.00
60000000.00,50024083.00
45000000.00,35627222.00
1500000.00,7412216.00
175000000.00,88246220.00
22000000.00,50621733.00
6000000.00,23341568.00
20000000.00,70433227.00
24000000.00,669276.00
7000000.00,25532388.00
50000000.00,81022333.00
50000.00,10426506.00
40000000.00,20350754.00
30000000.00,100125643.00
20000000.00,21284514.00
5000000.00,15126948.00
32000000.00,18552460.00
50000000.00,67823573.00
55000000.00,141579773.00
30000000.00,108360063.00
50000000.00,10359006.00
50000000.00,9812870.00
30250000.00,72021008.00
6100000.00,2108367.00
20000000.00,32051917.00
14000000.00,19637147.00
4000000.00,31983777.00
16500000.00,42993774.00
62000000.00,60022813.00
60000000.00,106429941.00
68000000.00,35324232.00
52000000.00,42438300.00
30000000.00,191796233.00
55000000.00,91387195.00
11000000.00,2794056.00
11000000.00,2844379.00
65000000.00,100458310.00
58000000.00,53458319.00
45000000.00,13668249.00
92000000.00,10017322.00
4000000.00,4301000.00
29000000.00,57141459.00
31000000.00,82582604.00
18000000.00,4100000.00
11000000.00,39387284.00
9200000.00,2684904.00
60000000.00,51045801.00
10000.00,527.00
14500000.00,46338728.00
12500000.00,1212799.00
20000000.00,25728961.00
44000000.00,22730924.00
38000000.00,10229300.00
75000000.00,306169255.00
55000000.00,21226204.00
5900000.00,22231658.00
40000000.00,20278055.00
10000000.00,38623460.00
5000000.00,407488.00
47000000.00,5707094.00
18000000.00,2483790.00
7500000.00,32281907.00
8000000.00,34873513.00
15000000.00,24769466.00
8000000.00,5656388.00
55000000.00,56679192.00
12000000.00,4880941.00
7000000.00,14853474.00
39000000.00,30356589.00
45000000.00,20404841.00
10000000.00,3357324.00
4500000.00,3802260.00
2500000.00,25857416.00
35000000.00,1320043.00
25000000.00,10039566.00
13000000.00,2104439.00
32000000.00,104636382.00
25530000.00,20080020.00
80000000.00,180981886.00
18000000.00,26936265.00
57000000.00,51364680.00
32000000.00,4357406.00
9000000.00,36049108.00
80000000.00,32908290.00
20000000.00,9725847.00
47000000.00,60240295.00
100000000.00,101295562.00
100000000.00,100138851.00
5000000.00,12961389.00
55000000.00,128814019.00
50000000.00,33109743.00
75000000.00,134069511.00
45000000.00,17220599.00
45000000.00,20133326.00
1000000.00,1287480.00
30000000.00,17192205.00
3100000.00,16501785.00
40000000.00,108766007.00
25000000.00,25023424.00
25000000.00,15382170.00
2000000.00,304602.00
7000000.00,24567751.00
70000000.00,136492681.00
55000000.00,18582965.00
45000000.00,53854588.00
19000000.00,1353824.00
40000000.00,27682712.00
3500000.00,9482579.00
3000000.00,295493.00
65000000.00,70645997.00
50000000.00,25426861.00
45000000.00,58617334.00
3000000.00,2962051.00
25000000.00,14102929.00
67000000.00,18115927.00
30000000.00,105489203.00
300000.00,1652472.00
38000000.00,17378193.00
4500000.00,13417292.00
88000000.00,241688385.00
800000.00,4198137.00
13000000.00,26570048.00
2400000.00,5691854.00
44000000.00,53300852.00
200000.00,4505922.00
14000000.00,15171475.00
65000000.00,33447612.00
55000000.00,38564422.00
25000000.00,11092559.00
1300000.00,749741.00
80000000.00,90463534.00
42000000.00,41267469.00
35000000.00,78716374.00
4833610.00,24475416.00
60000000.00,60592389.00
46000000.00,92027888.00
5500000.00,35811509.00
20000000.00,26792700.00
46000000.00,59003384.00
7000000.00,659000.00
80000000.00,37771017.00
50000000.00,153952592.00
36000000.00,13052741.00
23000000.00,12803305.00
21500000.00,22331846.00
15000000.00,103046663.00
12000000.00,63118386.00
55000000.00,50047179.00
18000000.00,4501094.00
15000000.00,76382.00
90000000.00,250690539.00
3000000.00,24646936.00
25000.00,2883661.00
5000000.00,353480.00
8000000.00,590817.00
45000000.00,2154540.00
4000000.00,2922988.00
36000000.00,50159144.00
35000000.00,6448817.00
18000000.00,53883989.00
50000000.00,50068310.00
26000000.00,1083350.00
35000000.00,41954997.00
35000000.00,2221994.00
3000000.00,4109095.00
27000000.00,60527873.00
10000000.00,12554569.00
45000000.00,181410615.00
20000000.00,35450113.00
90000000.00,42885593.00
32000000.00,3588602.00
250000.00,212285.00
90000000.00,61363304.00
250000.00,12006514.00
42000000.00,4408420.00
3000000.00,3602884.00
90000000.00,47546796.00
300000.00,42735.00
10000000.00,138433435.00
75000000.00,229086679.00
80000000.00,101117573.00
12000000.00,14010363.00
110000000.00,48097081.00
70000000.00,99112101.00
2700000.00,9054736.00
125000000.00,107325195.00
46000000.00,126813153.00
4000000.00,12836.00
1000000.00,542909.00
80000000.00,112276146.00
115000000.00,67163857.00
100000000.00,54768952.00
50000000.00,10561038.00
5000000.00,14843425.00
55000000.00,105263257.00
25000000.00,44480039.00
85000000.00,172956409.00
40000000.00,54979992.00
80000000.00,76118990.00
70000000.00,37945884.00
3500000.00,45950122.00
60000000.00,26673242.00
16000000.00,1686429.00
15000000.00,44906632.00
50000000.00,48169156.00
25000000.00,41076865.00
450000.00,410919.00
26000000.00,5000.00
95000000.00,63570862.00
85000000.00,28681080.00
35000000.00,64604977.00
35000000.00,63826569.00
50000000.00,41263140.00
18000000.00,8038061.00
7500000.00,43492389.00
60000000.00,33956608.00
55000000.00,11532774.00
15000000.00,26410771.00
5000000.00,4306697.00
57000000.00,61007424.00
17000000.00,72250091.00
36000000.00,12532777.00
38000000.00,6504442.00
12000000.00,220175.00
45000000.00,65598907.00
15000000.00,28084357.00
12000.00,413802.00
90000000.00,100920329.00
28000000.00,8165213.00
60000000.00,54956941.00
53000000.00,58403409.00
20000000.00,13801755.00
40000000.00,45916769.00
35000000.00,25078937.00
30000000.00,35927406.00
80000000.00,92993801.00
60000000.00,47795018.00
50000000.00,48265581.00
40000000.00,44212592.00
24000000.00,101363301.00
20000000.00,10686841.00
5000000.00,20733485.00
200000000.00,658672302.00
110000000.00,125304276.00
38000000.00,61894591.00
50000000.00,148478011.00
80000000.00,17650704.00
28000000.00,5686694.00
15000000.00,43057470.00
12000000.00,39673162.00
12500000.00,1612957.00
25000000.00,21567853.00
4000000.00,302204.00
2300000.00,574838.00
140000000.00,201578182.00
70000000.00,19870567.00
8000000.00,17394881.00
2650000.00,16556.00
25000000.00,29342592.00
45000000.00,11203026.00
5000000.00,2080693.00
80000000.00,55485043.00
60000000.00,90757863.00
17000000.00,30331165.00
73000000.00,37068294.00
29000000.00,22619589.00
500000.00,334041.00
68000.00,33598.00
27000000.00,14435076.00
10000000.00,45779.00
80000000.00,69117629.00
60000000.00,32983332.00
15000000.00,11156471.00
10000000.00,10162034.00
35000000.00,56968169.00
7000000.00,306715.00
65000000.00,39017984.00
20000000.00,29795299.00
11900000.00,48856.00
6000000.00,12716953.00
27000000.00,10341093.00
24000000.00,4356126.00
20000000.00,146072.00
5000000.00,143273.00
4500000.00,713413.00
35000000.00,10319915.00
20000000.00,21541218.00
6000000.00,4595000.00
2000000.00,72544.00
15000000.00,29145924.00
13000000.00,27066941.00
6000000.00,11911200.00
1000000.00,2057193.00
60000000.00,125618201.00
17000000.00,55041738.00
60000000.00,75383563.00
40000000.00,22772500.00
30000000.00,26528684.00
2000000.00,537948.00
125000000.00,136314294.00
18500000.00,10680275.00
3500000.00,10317779.00
30000000.00,60110313.00
30000000.00,19035741.00
20000000.00,15055091.00
15000000.00,17498804.00
4030000.00,2542264.00
70000000.00,40934175.00
25000000.00,30082699.00
23000000.00,161491646.00
9000000.00,1053788.00
3500000.00,6451628.00
90000000.00,120620254.00
66000000.00,83898313.00
650000.00,2301777.00
71500000.00,144156605.00
48000000.00,37562568.00
2000000.00,6719300.00
1500000.00,2380606.00
73000000.00,55591409.00
1000000.00,21210.00
300000.00,10876.00
22000000.00,176484651.00
65000000.00,93828745.00
55000000.00,1147784.00
65000000.00,216335085.00
15000000.00,17507368.00
10000000.00,19843795.00
50000000.00,44705766.00
26000000.00,65705772.00
5000000.00,23047939.00
80000000.00,140464664.00
13000000.00,8064972.00
60000000.00,23385416.00
20000000.00,37672944.00
10000000.00,244465.00
5000000.00,5502773.00
45000000.00,70141876.00
14000000.00,15064948.00
1000000.00,3395581.00
13000000.00,16757163.00
250000.00,203134.00
19000000.00,8123860.00
60000000.00,12069719.00
1300000.00,1647780.00
1000000.00,1009819.00
100000.00,2652246.00
35000000.00,141186864.00
30000000.00,23337196.00
2000000.00,134624.00
55000000.00,41610884.00
14000000.00,38116707.00
8000000.00,1793359.00
1000000.00,22434.00
55000000.00,78750909.00
140000000.00,130444603.00
40000000.00,55143823.00
68000.00,3221152.00
60000000.00,46850558.00
53000000.00,22852487.00
25000000.00,32404188.00
3000000.00,2746453.00
75000000.00,14623082.00
1000000.00,582024.00
20000000.00,20268825.00
12000000.00,12905901.00
10000000.00,6719864.00
25000000.00,780326.00
20000000.00,18253415.00
12000000.00,22921898.00
300000.00,373615.00
250000.00,489220.00
70000000.00,70187658.00
50000000.00,34645374.00
26000000.00,100317794.00
17000000.00,16316273.00
10000000.00,17105219.00
85000000.00,44650003.00
24000000.00,40020622.00
85000000.00,111549836.00
45000000.00,162798565.00
28000000.00,100494685.00
12000000.00,5078660.00
3000000.00,24793251.00
2900000.00,5969553.00
80000000.00,18319860.00
15000000.00,10513979.00
10000000.00,9949470.00
80000000.00,74339294.00
13000000.00,10020081.00
10000000.00,25358996.00
8000000.00,146083.00
65000000.00,115821495.00
60000000.00,101413188.00
52000000.00,36400491.00
80000000.00,50632037.00
60000000.00,56709981.00
50000000.00,135014968.00
50000000.00,91137662.00
15000000.00,40283321.00
10000000.00,245359.00
34000000.00,11263966.00
7000000.00,7309628.00
48000000.00,60652036.00
28000000.00,8891623.00
17000000.00,11634458.00
